code,coding_system,description,entity,list_name,upload_date
1.86224E+15,CPRD_product_code,NovoRapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.86234E+15,CPRD_product_code,NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
1.86244E+15,CPRD_product_code,NovoRapid Novolet 100units/ml solution for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.01884E+15,CPRD_product_code,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 10ml vials (Wockhardt UK Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.01894E+15,CPRD_product_code,Hypurin Porcine 30/70 Mix 100units/ml suspension for injection 1.5ml cartridges (C P Pharmaceuticals,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.03444E+15,CPRD_product_code,Insuman Rapid 100units/ml solution for injection 5ml vials (Aventis Pharma),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.03464E+15,CPRD_product_code,Insuman Rapid 100units/ml solution for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.03524E+15,CPRD_product_code,Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.03544E+15,CPRD_product_code,Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.03554E+15,CPRD_product_code,Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.03564E+15,CPRD_product_code,Insuman Comb 25 100units/ml suspension for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.15844E+15,CPRD_product_code,Insuman Comb 15 100units/ml suspension for injection 5ml vials (Aventis Pharma),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.15854E+15,CPRD_product_code,Insuman Comb 15 100units/ml suspension for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.15864E+15,CPRD_product_code,Insuman Comb 50 100units/ml suspension for injection 5ml vials (Aventis Pharma),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.15874E+15,CPRD_product_code,Insuman Comb 50 100units/ml suspension for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.18214E+15,CPRD_product_code,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Pl,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.18224E+15,CPRD_product_code,Insulin lispro 100units/ml solution for injection 3ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.18234E+15,CPRD_product_code,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.18244E+15,CPRD_product_code,Humulin I Pen 100units/ml suspension for injection 3ml pre-filled pens (Eli Lilly and Company Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.26684E+15,CPRD_product_code,Insuman Basal 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.26694E+15,CPRD_product_code,Insuman Rapid 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.26704E+15,CPRD_product_code,Insuman Comb 15 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.26714E+15,CPRD_product_code,Insuman Comb 25 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.26724E+15,CPRD_product_code,Insuman Comb 50 100units/ml suspension for injection 3ml pre-filled OptiSet pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.64464E+15,CPRD_product_code,Insulatard InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.64474E+15,CPRD_product_code,Mixtard 30 InnoLet 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.72474E+15,CPRD_product_code,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.72484E+15,CPRD_product_code,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.78074E+15,CPRD_product_code,Lantus 100units/ml solution for injection 10ml vials (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.78084E+15,CPRD_product_code,Lantus 100units/ml solution for injection 3ml cartridges (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.78094E+15,CPRD_product_code,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.79664E+15,CPRD_product_code,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.79674E+15,CPRD_product_code,Insulatard FlexPen 100units/ml suspension for injection (Novo Nordisk Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.79884E+15,CPRD_product_code,Insulin glargine 100units/ml solution for injection 10ml vials,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.79894E+15,CPRD_product_code,Insulin glargine 100units/ml solution for injection 3ml cartridges,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.79904E+15,CPRD_product_code,Insulin glargine 100units/ml solution for injection 3ml pre-filled disposable devices,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86764E+15,CPRD_product_code,Humulin R Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86774E+15,CPRD_product_code,Humulin N Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86784E+15,CPRD_product_code,Humulin L Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86794E+15,CPRD_product_code,Humulin U Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86804E+15,CPRD_product_code,Humulin 90/10 Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86814E+15,CPRD_product_code,Humulin 80/20 Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86824E+15,CPRD_product_code,Humulin 70/30 Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86834E+15,CPRD_product_code,Humulin 60/40 Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.86844E+15,CPRD_product_code,Humulin 50/50 Injection 100 units/ml; 10 ml vial,drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.91694E+15,CPRD_product_code,Hypurin Bovine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.91704E+15,CPRD_product_code,Hypurin Bovine Isophane 100units/ml suspension for injection 3ml cartridges (Wockhardt UK Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
2.91714E+15,CPRD_product_code,Hypurin Porcine Neutral 100units/ml solution for injection 3ml cartridges (Wockhardt UK Ltd),drug,857 - res166: Insulin (CPRD Aurum),2020-11-02
