code,description,coding_system,concept_id,concept_version_id,concept_name,phenotype_id,phenotype_version_id,phenotype_name,code_attributes
6043781000006115,Rapid atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""314208002"", ""Snomed CT Description ID"": ""458527016""}]"
636701000000115,Persistent atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""440059007"", ""Snomed CT Description ID"": ""2793372019""}]"
636721000000112,Permanent atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""440028005"", ""Snomed CT Description ID"": ""2793259018""}]"
7064691000006118,Transient cerebral ischaemia due to atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""426814001"", ""Snomed CT Description ID"": ""2675245017""}]"
7064701000006118,Transient cerebral ischemia due to atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""426814001"", ""Snomed CT Description ID"": ""2675244018""}]"
7099921000006111,Maze procedure for atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""429211003"", ""Snomed CT Description ID"": ""2694655012""}]"
7100011000006116,History of maze procedure for atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""429218009"", ""Snomed CT Description ID"": ""2695416012""}]"
7375931000006117,Insertion of pacemaker for control of atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""449863006"", ""Snomed CT Description ID"": ""2912517016""}]"
7610331000006110,Longstanding persistent atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""706923002"", ""Snomed CT Description ID"": ""3027950014""}]"
8037691000006113,Atrial fibrillation with rapid ventricular response,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""120041000119109"", ""Snomed CT Description ID"": ""2981207015""}]"
8214691000006119,Atrial fibrillation monitoring invitation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""711411000000101"", ""Snomed CT Description ID"": ""1555841000000110.0""}]"
8218281000006110,Atrial fibrillation monitoring telephone invitation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""716721000000107"", ""Snomed CT Description ID"": ""1569271000000110.0""}]"
8218591000006111,Atrial fibrillation monitoring verbal invitation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""717011000000100"", ""Snomed CT Description ID"": ""1569561000000120.0""}]"
82343012,Atrial fibrillation,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""49436004"", ""Snomed CT Description ID"": ""82343012""}]"
8439861000006115,Atrial fibrillation detected,Med codes,C3220,8970,File - Atrial Fibrillation - Primary Care - Diagnosis,PH1045,2288,Atrial Fibrillation,"[{""Disease"": ""Atrial fibrillation"", ""Snomed CT Concept ID"": ""1066831000000100.0"", ""Snomed CT Description ID"": ""2679661000000120.0""}]"
