code,coding_system,description,entity,list_name,upload_date
6.39104E+15,CPRD_product_code,Glucient SR 500mg tablets (Consilient Health Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
6.44941E+14,CPRD_product_code,Glucophage 500mg tablets (Merck Serono Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
6.45041E+14,CPRD_product_code,Glucophage 850mg tablets (Merck Serono Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
6.45541E+14,CPRD_product_code,Glucamet Tablets 500 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
6.45641E+14,CPRD_product_code,Glucamet Tablets 850 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
7.87494E+15,CPRD_product_code,Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.02844E+15,CPRD_product_code,Galvus Met Tablets 850 mg + 50 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.02854E+15,CPRD_product_code,Galvus Met Tablets 1 gram + 50 mg,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.11574E+15,CPRD_product_code,Linagliptin 2.5mg / Metformin 1g tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.11584E+15,CPRD_product_code,Linagliptin 2.5mg / Metformin 850mg tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.11594E+15,CPRD_product_code,Jentadueto 2.5mg/1000mg tablets (Boehringer Ingelheim Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.11604E+15,CPRD_product_code,Jentadueto 2.5mg/850mg tablets (Boehringer Ingelheim Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.24254E+15,CPRD_product_code,Saxagliptin 2.5mg / Metformin 850mg tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.24264E+15,CPRD_product_code,Saxagliptin 2.5mg / Metformin 1g tablets,drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
8.24274E+15,CPRD_product_code,Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd),drug,859 - res166: Metformin (CPRD Aurum),2020-11-02
